,year,week,team_name,score,opp_score,opp_team_name,win,week_avg,plus_minus,opp_plus_minus
0,2013,1,Team Master Baiters,95.0,100.0,Somewhere over Dwyane Bowe,False,98.7,-3.700000000000003,1.2999999999999972
1,2013,1,Somewhere over Dwyane Bowe,100.0,95.0,Team Master Baiters,True,98.7,1.2999999999999972,-3.700000000000003
2,2013,1,Morning Woodhead,94.0,99.0,Team Dildo Gaggins,False,98.7,-4.700000000000003,0.29999999999999716
3,2013,1,Team Dildo Gaggins,99.0,94.0,Morning Woodhead,True,98.7,0.29999999999999716,-4.700000000000003
4,2013,1,Geico Trap,138.0,87.0,Team Cheokas,True,98.7,39.3,-11.700000000000003
5,2013,1,Team Cheokas,87.0,138.0,Geico Trap,False,98.7,-11.700000000000003,39.3
6,2013,1,i JACQUIZZED on ur mom,112.0,81.0,Hernandez's  Hit Men,True,98.7,13.299999999999997,-17.700000000000003
7,2013,1,Hernandez's  Hit Men,81.0,112.0,i JACQUIZZED on ur mom,False,98.7,-17.700000000000003,13.299999999999997
8,2013,1,Team NYC Sour D,110.0,71.0,Team Han,True,98.7,11.299999999999997,-27.700000000000003
9,2013,1,Team Han,71.0,110.0,Team NYC Sour D,False,98.7,-27.700000000000003,11.299999999999997
0,2013,2,Geico Trap,91.0,100.0,Morning Woodhead,False,89.3,1.7000000000000028,10.700000000000003
1,2013,2,Morning Woodhead,100.0,91.0,Geico Trap,True,89.3,10.700000000000003,1.7000000000000028
2,2013,2,Somewhere over Dwyane Bowe,87.0,64.0,i JACQUIZZED on ur mom,True,89.3,-2.299999999999997,-25.299999999999997
3,2013,2,i JACQUIZZED on ur mom,64.0,87.0,Somewhere over Dwyane Bowe,False,89.3,-25.299999999999997,-2.299999999999997
4,2013,2,Team Master Baiters,74.0,81.0,Team NYC Sour D,False,89.3,-15.299999999999997,-8.299999999999997
5,2013,2,Team NYC Sour D,81.0,74.0,Team Master Baiters,True,89.3,-8.299999999999997,-15.299999999999997
6,2013,2,Team Dildo Gaggins,132.0,92.0,Hernandez's  Hit Men,True,89.3,42.7,2.700000000000003
7,2013,2,Hernandez's  Hit Men,92.0,132.0,Team Dildo Gaggins,False,89.3,2.700000000000003,42.7
8,2013,2,Team Cheokas,68.0,104.0,Team Han,False,89.3,-21.299999999999997,14.700000000000003
9,2013,2,Team Han,104.0,68.0,Team Cheokas,True,89.3,14.700000000000003,-21.299999999999997
0,2013,3,Team NYC Sour D,111.0,88.0,i JACQUIZZED on ur mom,True,81.4,29.599999999999994,6.599999999999994
1,2013,3,i JACQUIZZED on ur mom,88.0,111.0,Team NYC Sour D,False,81.4,6.599999999999994,29.599999999999994
2,2013,3,Hernandez's  Hit Men,65.0,88.0,Morning Woodhead,False,81.4,-16.400000000000006,6.599999999999994
3,2013,3,Morning Woodhead,88.0,65.0,Hernandez's  Hit Men,True,81.4,6.599999999999994,-16.400000000000006
4,2013,3,Team Han,87.0,90.0,Geico Trap,False,81.4,5.599999999999994,8.599999999999994
5,2013,3,Geico Trap,90.0,87.0,Team Han,True,81.4,8.599999999999994,5.599999999999994
6,2013,3,Team Dildo Gaggins,80.0,53.0,Somewhere over Dwyane Bowe,True,81.4,-1.4000000000000057,-28.400000000000006
7,2013,3,Somewhere over Dwyane Bowe,53.0,80.0,Team Dildo Gaggins,False,81.4,-28.400000000000006,-1.4000000000000057
8,2013,3,Team Cheokas,86.0,66.0,Team Master Baiters,True,81.4,4.599999999999994,-15.400000000000006
9,2013,3,Team Master Baiters,66.0,86.0,Team Cheokas,False,81.4,-15.400000000000006,4.599999999999994
0,2013,4,Hernandez's  Hit Men,91.0,89.0,Team Han,True,100.9,-9.900000000000006,-11.900000000000006
1,2013,4,Team Han,89.0,91.0,Hernandez's  Hit Men,False,100.9,-11.900000000000006,-9.900000000000006
2,2013,4,i JACQUIZZED on ur mom,144.0,82.0,Team Dildo Gaggins,True,100.9,43.099999999999994,-18.900000000000006
3,2013,4,Team Dildo Gaggins,82.0,144.0,i JACQUIZZED on ur mom,False,100.9,-18.900000000000006,43.099999999999994
4,2013,4,Team NYC Sour D,89.0,80.0,Team Cheokas,True,100.9,-11.900000000000006,-20.900000000000006
5,2013,4,Team Cheokas,80.0,89.0,Team NYC Sour D,False,100.9,-20.900000000000006,-11.900000000000006
6,2013,4,Morning Woodhead,124.0,112.0,Somewhere over Dwyane Bowe,True,100.9,23.099999999999994,11.099999999999994
7,2013,4,Somewhere over Dwyane Bowe,112.0,124.0,Morning Woodhead,False,100.9,11.099999999999994,23.099999999999994
8,2013,4,Geico Trap,87.0,111.0,Team Master Baiters,False,100.9,-13.900000000000006,10.099999999999994
9,2013,4,Team Master Baiters,111.0,87.0,Geico Trap,True,100.9,10.099999999999994,-13.900000000000006
0,2013,5,Team Cheokas,98.0,85.0,Team Dildo Gaggins,True,88.3,9.700000000000003,-3.299999999999997
1,2013,5,Team Dildo Gaggins,85.0,98.0,Team Cheokas,False,88.3,-3.299999999999997,9.700000000000003
2,2013,5,Somewhere over Dwyane Bowe,86.0,71.0,Hernandez's  Hit Men,True,88.3,-2.299999999999997,-17.299999999999997
3,2013,5,Hernandez's  Hit Men,71.0,86.0,Somewhere over Dwyane Bowe,False,88.3,-17.299999999999997,-2.299999999999997
4,2013,5,Team Master Baiters,69.0,62.0,Team Han,True,88.3,-19.299999999999997,-26.299999999999997
5,2013,5,Team Han,62.0,69.0,Team Master Baiters,False,88.3,-26.299999999999997,-19.299999999999997
6,2013,5,Morning Woodhead,108.0,97.0,i JACQUIZZED on ur mom,True,88.3,19.700000000000003,8.700000000000003
7,2013,5,i JACQUIZZED on ur mom,97.0,108.0,Morning Woodhead,False,88.3,8.700000000000003,19.700000000000003
8,2013,5,Geico Trap,99.0,108.0,Team NYC Sour D,False,88.3,10.700000000000003,19.700000000000003
9,2013,5,Team NYC Sour D,108.0,99.0,Geico Trap,True,88.3,19.700000000000003,10.700000000000003
0,2013,6,Morning Woodhead,88.0,62.0,Team Master Baiters,True,88.8,-0.7999999999999972,-26.799999999999997
1,2013,6,Team Master Baiters,62.0,88.0,Morning Woodhead,False,88.8,-26.799999999999997,-0.7999999999999972
2,2013,6,i JACQUIZZED on ur mom,70.0,70.0,Geico Trap,False,88.8,-18.799999999999997,-18.799999999999997
3,2013,6,Geico Trap,70.0,70.0,i JACQUIZZED on ur mom,False,88.8,-18.799999999999997,-18.799999999999997
4,2013,6,Hernandez's  Hit Men,141.0,77.0,Team NYC Sour D,True,88.8,52.2,-11.799999999999997
5,2013,6,Team NYC Sour D,77.0,141.0,Hernandez's  Hit Men,False,88.8,-11.799999999999997,52.2
6,2013,6,Team Dildo Gaggins,63.0,79.0,Team Han,False,88.8,-25.799999999999997,-9.799999999999997
7,2013,6,Team Han,79.0,63.0,Team Dildo Gaggins,True,88.8,-9.799999999999997,-25.799999999999997
8,2013,6,Somewhere over Dwyane Bowe,138.0,100.0,Team Cheokas,True,88.8,49.2,11.200000000000003
9,2013,6,Team Cheokas,100.0,138.0,Somewhere over Dwyane Bowe,False,88.8,11.200000000000003,49.2
0,2013,7,Team Master Baiters,77.0,91.0,i JACQUIZZED on ur mom,False,86.2,-9.200000000000003,4.799999999999997
1,2013,7,i JACQUIZZED on ur mom,91.0,77.0,Team Master Baiters,True,86.2,4.799999999999997,-9.200000000000003
2,2013,7,Geico Trap,88.0,96.0,Hernandez's  Hit Men,False,86.2,1.7999999999999972,9.799999999999997
3,2013,7,Hernandez's  Hit Men,96.0,88.0,Geico Trap,True,86.2,9.799999999999997,1.7999999999999972
4,2013,7,Team NYC Sour D,74.0,71.0,Team Dildo Gaggins,True,86.2,-12.200000000000003,-15.200000000000003
5,2013,7,Team Dildo Gaggins,71.0,74.0,Team NYC Sour D,False,86.2,-15.200000000000003,-12.200000000000003
6,2013,7,Team Han,94.0,79.0,Somewhere over Dwyane Bowe,True,86.2,7.799999999999997,-7.200000000000003
7,2013,7,Somewhere over Dwyane Bowe,79.0,94.0,Team Han,False,86.2,-7.200000000000003,7.799999999999997
8,2013,7,Team Cheokas,77.0,115.0,Morning Woodhead,False,86.2,-9.200000000000003,28.799999999999997
9,2013,7,Morning Woodhead,115.0,77.0,Team Cheokas,True,86.2,28.799999999999997,-9.200000000000003
0,2013,8,Hernandez's  Hit Men,91.0,126.0,Team Master Baiters,False,88.9,2.0999999999999943,37.099999999999994
1,2013,8,Team Master Baiters,126.0,91.0,Hernandez's  Hit Men,True,88.9,37.099999999999994,2.0999999999999943
2,2013,8,Team Dildo Gaggins,98.0,78.0,Geico Trap,True,88.9,9.099999999999994,-10.900000000000006
3,2013,8,Geico Trap,78.0,98.0,Team Dildo Gaggins,False,88.9,-10.900000000000006,9.099999999999994
4,2013,8,Somewhere over Dwyane Bowe,47.0,71.0,Team NYC Sour D,False,88.9,-41.900000000000006,-17.900000000000006
5,2013,8,Team NYC Sour D,71.0,47.0,Somewhere over Dwyane Bowe,True,88.9,-17.900000000000006,-41.900000000000006
6,2013,8,Morning Woodhead,94.0,70.0,Team Han,True,88.9,5.099999999999994,-18.900000000000006
7,2013,8,Team Han,70.0,94.0,Morning Woodhead,False,88.9,-18.900000000000006,5.099999999999994
8,2013,8,i JACQUIZZED on ur mom,105.0,109.0,Team Cheokas,False,88.9,16.099999999999994,20.099999999999994
9,2013,8,Team Cheokas,109.0,105.0,i JACQUIZZED on ur mom,True,88.9,20.099999999999994,16.099999999999994
0,2013,9,Somewhere over Dwyane Bowe,85.0,100.0,Geico Trap,False,95.7,-10.700000000000003,4.299999999999997
1,2013,9,Geico Trap,100.0,85.0,Somewhere over Dwyane Bowe,True,95.7,4.299999999999997,-10.700000000000003
2,2013,9,Morning Woodhead,86.0,124.0,Team NYC Sour D,False,95.7,-9.700000000000003,28.299999999999997
3,2013,9,Team NYC Sour D,124.0,86.0,Morning Woodhead,True,95.7,28.299999999999997,-9.700000000000003
4,2013,9,i JACQUIZZED on ur mom,91.0,112.0,Team Han,False,95.7,-4.700000000000003,16.299999999999997
5,2013,9,Team Han,112.0,91.0,i JACQUIZZED on ur mom,True,95.7,16.299999999999997,-4.700000000000003
6,2013,9,Hernandez's  Hit Men,91.0,118.0,Team Cheokas,False,95.7,-4.700000000000003,22.299999999999997
7,2013,9,Team Cheokas,118.0,91.0,Hernandez's  Hit Men,True,95.7,22.299999999999997,-4.700000000000003
8,2013,9,Team Master Baiters,110.0,40.0,Team Dildo Gaggins,True,95.7,14.299999999999997,-55.7
9,2013,9,Team Dildo Gaggins,40.0,110.0,Team Master Baiters,False,95.7,-55.7,14.299999999999997
0,2013,10,Team Master Baiters,97.0,58.0,Hernandez's  Hit Men,True,82.6,14.400000000000006,-24.599999999999994
1,2013,10,Hernandez's  Hit Men,58.0,97.0,Team Master Baiters,False,82.6,-24.599999999999994,14.400000000000006
2,2013,10,Team Cheokas,63.0,101.0,i JACQUIZZED on ur mom,False,82.6,-19.599999999999994,18.400000000000006
3,2013,10,i JACQUIZZED on ur mom,101.0,63.0,Team Cheokas,True,82.6,18.400000000000006,-19.599999999999994
4,2013,10,Team NYC Sour D,91.0,61.0,Morning Woodhead,True,82.6,8.400000000000006,-21.599999999999994
5,2013,10,Morning Woodhead,61.0,91.0,Team NYC Sour D,False,82.6,-21.599999999999994,8.400000000000006
6,2013,10,Team Han,89.0,45.0,Team Dildo Gaggins,True,82.6,6.400000000000006,-37.599999999999994
7,2013,10,Team Dildo Gaggins,45.0,89.0,Team Han,False,82.6,-37.599999999999994,6.400000000000006
8,2013,10,Geico Trap,128.0,93.0,Somewhere over Dwyane Bowe,True,82.6,45.400000000000006,10.400000000000006
9,2013,10,Somewhere over Dwyane Bowe,93.0,128.0,Geico Trap,False,82.6,10.400000000000006,45.400000000000006
0,2014,1,Gronk if You're Horny,109.0,115.5,Turn Down for  Watt,False,102.85,6.150000000000006,12.650000000000006
1,2014,1,Turn Down for  Watt,115.5,109.0,Gronk if You're Horny,True,102.85,12.650000000000006,6.150000000000006
2,2014,1,"Half Jap, Half Jew Children",103.5,95.0,Team Dildo Gaggins,True,102.85,0.6500000000000057,-7.849999999999994
3,2014,1,Team Dildo Gaggins,95.0,103.5,"Half Jap, Half Jew Children",False,102.85,-7.849999999999994,0.6500000000000057
4,2014,1,Geico Trap,77.5,111.5,Team Cheokas,False,102.85,-25.349999999999994,8.650000000000006
5,2014,1,Team Cheokas,111.5,77.5,Geico Trap,True,102.85,8.650000000000006,-25.349999999999994
6,2014,1,Even the closet is bigger in TX,118.0,96.0,Monday Night Drinking Club,True,102.85,15.150000000000006,-6.849999999999994
7,2014,1,Monday Night Drinking Club,96.0,118.0,Even the closet is bigger in TX,False,102.85,-6.849999999999994,15.150000000000006
8,2014,1,Team NYC Sour D,85.5,117.0,Team Han,False,102.85,-17.349999999999994,14.150000000000006
9,2014,1,Team Han,117.0,85.5,Team NYC Sour D,True,102.85,14.150000000000006,-17.349999999999994
0,2014,2,Geico Trap,90.5,114.0,"Half Jap, Half Jew Children",False,93.4,-2.9000000000000057,20.599999999999994
1,2014,2,"Half Jap, Half Jew Children",114.0,90.5,Geico Trap,True,93.4,20.599999999999994,-2.9000000000000057
2,2014,2,Turn Down for  Watt,72.0,99.5,Even the closet is bigger in TX,False,93.4,-21.400000000000006,6.099999999999994
3,2014,2,Even the closet is bigger in TX,99.5,72.0,Turn Down for  Watt,True,93.4,6.099999999999994,-21.400000000000006
4,2014,2,Gronk if You're Horny,61.5,118.5,Team NYC Sour D,False,93.4,-31.900000000000006,25.099999999999994
5,2014,2,Team NYC Sour D,118.5,61.5,Gronk if You're Horny,True,93.4,25.099999999999994,-31.900000000000006
6,2014,2,Team Dildo Gaggins,109.5,73.5,Monday Night Drinking Club,True,93.4,16.099999999999994,-19.900000000000006
7,2014,2,Monday Night Drinking Club,73.5,109.5,Team Dildo Gaggins,False,93.4,-19.900000000000006,16.099999999999994
8,2014,2,Team Cheokas,88.0,107.0,Team Han,False,93.4,-5.400000000000006,13.599999999999994
9,2014,2,Team Han,107.0,88.0,Team Cheokas,True,93.4,13.599999999999994,-5.400000000000006
0,2014,3,Team NYC Sour D,69.0,68.0,Even the closet is bigger in TX,True,94.9,-25.900000000000006,-26.900000000000006
1,2014,3,Even the closet is bigger in TX,68.0,69.0,Team NYC Sour D,False,94.9,-26.900000000000006,-25.900000000000006
2,2014,3,Monday Night Drinking Club,128.0,134.0,"Half Jap, Half Jew Children",False,94.9,33.099999999999994,39.099999999999994
3,2014,3,"Half Jap, Half Jew Children",134.0,128.0,Monday Night Drinking Club,True,94.9,39.099999999999994,33.099999999999994
4,2014,3,Team Han,92.5,95.0,Geico Trap,False,94.9,-2.4000000000000057,0.09999999999999432
5,2014,3,Geico Trap,95.0,92.5,Team Han,True,94.9,0.09999999999999432,-2.4000000000000057
6,2014,3,Team Dildo Gaggins,68.0,77.0,Turn Down for  Watt,False,94.9,-26.900000000000006,-17.900000000000006
7,2014,3,Turn Down for  Watt,77.0,68.0,Team Dildo Gaggins,True,94.9,-17.900000000000006,-26.900000000000006
8,2014,3,Team Cheokas,116.5,101.0,Gronk if You're Horny,True,94.9,21.599999999999994,6.099999999999994
9,2014,3,Gronk if You're Horny,101.0,116.5,Team Cheokas,False,94.9,6.099999999999994,21.599999999999994
0,2014,4,Monday Night Drinking Club,115.5,82.0,Team Han,True,105.6,9.900000000000006,-23.599999999999994
1,2014,4,Team Han,82.0,115.5,Monday Night Drinking Club,False,105.6,-23.599999999999994,9.900000000000006
2,2014,4,Even the closet is bigger in TX,80.5,140.0,Team Dildo Gaggins,False,105.6,-25.099999999999994,34.400000000000006
3,2014,4,Team Dildo Gaggins,140.0,80.5,Even the closet is bigger in TX,True,105.6,34.400000000000006,-25.099999999999994
4,2014,4,Team NYC Sour D,92.5,99.5,Team Cheokas,False,105.6,-13.099999999999994,-6.099999999999994
5,2014,4,Team Cheokas,99.5,92.5,Team NYC Sour D,True,105.6,-6.099999999999994,-13.099999999999994
6,2014,4,"Half Jap, Half Jew Children",92.0,97.0,Turn Down for  Watt,False,105.6,-13.599999999999994,-8.599999999999994
7,2014,4,Turn Down for  Watt,97.0,92.0,"Half Jap, Half Jew Children",True,105.6,-8.599999999999994,-13.599999999999994
8,2014,4,Geico Trap,123.5,133.5,Gronk if You're Horny,False,105.6,17.900000000000006,27.900000000000006
9,2014,4,Gronk if You're Horny,133.5,123.5,Geico Trap,True,105.6,27.900000000000006,17.900000000000006
0,2014,5,Team Cheokas,104.5,101.5,Team Dildo Gaggins,True,100.85,3.6500000000000057,0.6500000000000057
1,2014,5,Team Dildo Gaggins,101.5,104.5,Team Cheokas,False,100.85,0.6500000000000057,3.6500000000000057
2,2014,5,Turn Down for  Watt,95.5,116.5,Monday Night Drinking Club,False,100.85,-5.349999999999994,15.650000000000006
3,2014,5,Monday Night Drinking Club,116.5,95.5,Turn Down for  Watt,True,100.85,15.650000000000006,-5.349999999999994
4,2014,5,Gronk if You're Horny,75.0,121.0,Team Han,False,100.85,-25.849999999999994,20.150000000000006
5,2014,5,Team Han,121.0,75.0,Gronk if You're Horny,True,100.85,20.150000000000006,-25.849999999999994
6,2014,5,"Half Jap, Half Jew Children",110.5,95.0,Even the closet is bigger in TX,True,100.85,9.650000000000006,-5.849999999999994
7,2014,5,Even the closet is bigger in TX,95.0,110.5,"Half Jap, Half Jew Children",False,100.85,-5.849999999999994,9.650000000000006
8,2014,5,Geico Trap,115.5,73.5,Team NYC Sour D,True,100.85,14.650000000000006,-27.349999999999994
9,2014,5,Team NYC Sour D,73.5,115.5,Geico Trap,False,100.85,-27.349999999999994,14.650000000000006
0,2014,6,"Half Jap, Half Jew Children",84.5,100.5,Gronk if You're Horny,False,108.5,-24.0,-8.0
1,2014,6,Gronk if You're Horny,100.5,84.5,"Half Jap, Half Jew Children",True,108.5,-8.0,-24.0
2,2014,6,Even the closet is bigger in TX,119.0,103.0,Geico Trap,True,108.5,10.5,-5.5
3,2014,6,Geico Trap,103.0,119.0,Even the closet is bigger in TX,False,108.5,-5.5,10.5
4,2014,6,Monday Night Drinking Club,127.0,132.0,Team NYC Sour D,False,108.5,18.5,23.5
5,2014,6,Team NYC Sour D,132.0,127.0,Monday Night Drinking Club,True,108.5,23.5,18.5
6,2014,6,Team Dildo Gaggins,128.5,106.5,Team Han,True,108.5,20.0,-2.0
7,2014,6,Team Han,106.5,128.5,Team Dildo Gaggins,False,108.5,-2.0,20.0
8,2014,6,Turn Down for  Watt,77.0,107.0,Team Cheokas,False,108.5,-31.5,-1.5
9,2014,6,Team Cheokas,107.0,77.0,Turn Down for  Watt,True,108.5,-1.5,-31.5
0,2014,7,Gronk if You're Horny,112.5,97.0,Even the closet is bigger in TX,True,94.55,17.950000000000003,2.450000000000003
1,2014,7,Even the closet is bigger in TX,97.0,112.5,Gronk if You're Horny,False,94.55,2.450000000000003,17.950000000000003
2,2014,7,Geico Trap,111.0,76.0,Monday Night Drinking Club,True,94.55,16.450000000000003,-18.549999999999997
3,2014,7,Monday Night Drinking Club,76.0,111.0,Geico Trap,False,94.55,-18.549999999999997,16.450000000000003
4,2014,7,Team NYC Sour D,116.0,103.0,Team Dildo Gaggins,True,94.55,21.450000000000003,8.450000000000003
5,2014,7,Team Dildo Gaggins,103.0,116.0,Team NYC Sour D,False,94.55,8.450000000000003,21.450000000000003
6,2014,7,Team Han,94.5,49.0,Turn Down for  Watt,True,94.55,-0.04999999999999716,-45.55
7,2014,7,Turn Down for  Watt,49.0,94.5,Team Han,False,94.55,-45.55,-0.04999999999999716
8,2014,7,Team Cheokas,117.0,69.5,"Half Jap, Half Jew Children",True,94.55,22.450000000000003,-25.049999999999997
9,2014,7,"Half Jap, Half Jew Children",69.5,117.0,Team Cheokas,False,94.55,-25.049999999999997,22.450000000000003
0,2014,8,Monday Night Drinking Club,148.0,79.0,Gronk if You're Horny,True,117.25,30.75,-38.25
1,2014,8,Gronk if You're Horny,79.0,148.0,Monday Night Drinking Club,False,117.25,-38.25,30.75
2,2014,8,Team Dildo Gaggins,125.0,125.0,Geico Trap,False,117.25,7.75,7.75
3,2014,8,Geico Trap,125.0,125.0,Team Dildo Gaggins,False,117.25,7.75,7.75
4,2014,8,Turn Down for  Watt,120.0,86.0,Team NYC Sour D,True,117.25,2.75,-31.25
5,2014,8,Team NYC Sour D,86.0,120.0,Turn Down for  Watt,False,117.25,-31.25,2.75
6,2014,8,"Half Jap, Half Jew Children",162.5,138.5,Team Han,True,117.25,45.25,21.25
7,2014,8,Team Han,138.5,162.5,"Half Jap, Half Jew Children",False,117.25,21.25,45.25
8,2014,8,Even the closet is bigger in TX,101.0,87.5,Team Cheokas,True,117.25,-16.25,-29.75
9,2014,8,Team Cheokas,87.5,101.0,Even the closet is bigger in TX,False,117.25,-29.75,-16.25
0,2014,9,Turn Down for  Watt,122.0,83.0,Geico Trap,True,108.4,13.599999999999994,-25.400000000000006
1,2014,9,Geico Trap,83.0,122.0,Turn Down for  Watt,False,108.4,-25.400000000000006,13.599999999999994
2,2014,9,"Half Jap, Half Jew Children",136.0,90.5,Team NYC Sour D,True,108.4,27.599999999999994,-17.900000000000006
